date,region,primary_carrier,avg_dispatch_delay_hours,otif_percentage,transit_damage_claims,warehouse_stockout_flag
2026-07-01,West,FastExpress_Carrier_A,2.5,94.4,2,0
2026-07-01,East,FastExpress_Carrier_A,2.2,96.7,1,0
2026-07-01,North,FastExpress_Carrier_A,2.4,92.4,1,0
2026-07-01,South,FastExpress_Carrier_A,2.0,95.1,3,0
2026-07-02,West,RegionalLogistics_C,3.2,92.7,4,0
2026-07-02,East,BlueDart_Carrier_B,2.6,95.4,4,0
2026-07-02,North,BlueDart_Carrier_B,3.1,93.6,4,0
2026-07-02,South,FastExpress_Carrier_A,2.6,92.3,1,0
2026-07-03,West,FastExpress_Carrier_A,2.7,93.5,1,0
2026-07-03,East,FastExpress_Carrier_A,2.1,95.0,2,0
2026-07-03,North,BlueDart_Carrier_B,2.4,95.8,4,0
2026-07-03,South,RegionalLogistics_C,1.8,93.6,3,0
2026-07-04,West,BlueDart_Carrier_B,3.0,92.4,2,0
2026-07-04,East,BlueDart_Carrier_B,2.9,95.4,2,0
2026-07-04,North,BlueDart_Carrier_B,2.0,93.2,2,0
2026-07-04,South,BlueDart_Carrier_B,3.0,92.4,2,0
2026-07-05,West,BlueDart_Carrier_B,2.6,96.5,3,0
2026-07-05,East,BlueDart_Carrier_B,2.0,95.8,4,0
2026-07-05,North,RegionalLogistics_C,2.5,94.7,1,0
2026-07-05,South,RegionalLogistics_C,1.9,94.4,3,0
2026-07-06,West,RegionalLogistics_C,2.2,92.5,1,0
2026-07-06,East,BlueDart_Carrier_B,2.9,95.2,2,0
2026-07-06,North,FastExpress_Carrier_A,2.5,94.4,3,0
2026-07-06,South,FastExpress_Carrier_A,3.2,94.4,4,0
2026-07-07,West,RegionalLogistics_C,2.5,94.2,3,0
2026-07-07,East,RegionalLogistics_C,1.9,92.9,4,0
2026-07-07,North,RegionalLogistics_C,2.5,95.6,4,0
2026-07-07,South,BlueDart_Carrier_B,1.9,92.5,3,0
2026-07-08,West,RegionalLogistics_C,2.0,96.2,1,0
2026-07-08,East,FastExpress_Carrier_A,3.0,94.5,1,0
2026-07-08,North,RegionalLogistics_C,2.5,95.4,4,0
2026-07-08,South,RegionalLogistics_C,2.4,92.3,3,0
2026-07-09,West,FastExpress_Carrier_A,2.0,93.6,4,0
2026-07-09,East,RegionalLogistics_C,1.8,95.5,2,0
2026-07-09,North,FastExpress_Carrier_A,2.0,95.0,4,0
2026-07-09,South,BlueDart_Carrier_B,2.1,96.6,1,0
2026-07-10,West,BlueDart_Carrier_B,3.1,95.6,2,0
2026-07-10,East,BlueDart_Carrier_B,3.1,93.6,3,0
2026-07-10,North,BlueDart_Carrier_B,3.0,97.4,2,0
2026-07-10,South,FastExpress_Carrier_A,2.6,94.1,2,0
2026-07-11,West,BlueDart_Carrier_B,2.2,96.3,4,0
2026-07-11,East,BlueDart_Carrier_B,3.1,94.8,1,0
2026-07-11,North,FastExpress_Carrier_A,2.8,96.6,4,0
2026-07-11,South,RegionalLogistics_C,2.4,94.7,3,0
2026-07-12,West,FastExpress_Carrier_A,2.9,94.1,3,0
2026-07-12,East,FastExpress_Carrier_A,3.2,93.3,4,0
2026-07-12,North,RegionalLogistics_C,3.0,94.3,3,0
2026-07-12,South,BlueDart_Carrier_B,2.5,97.0,4,0
2026-07-13,West,BlueDart_Carrier_B,3.2,96.4,2,0
2026-07-13,East,FastExpress_Carrier_A,3.2,92.7,3,0
2026-07-13,North,FastExpress_Carrier_A,3.0,94.4,4,0
2026-07-13,South,FastExpress_Carrier_A,2.8,94.3,2,0
2026-07-14,West,RegionalLogistics_C,2.5,97.3,3,0
2026-07-14,East,RegionalLogistics_C,2.8,95.6,3,0
2026-07-14,North,RegionalLogistics_C,3.0,94.1,3,0
2026-07-14,South,RegionalLogistics_C,2.8,96.2,1,0
2026-07-15,West,FastExpress_Carrier_A,48.5,61.2,3,1
2026-07-15,East,FastExpress_Carrier_A,3.2,96.1,4,0
2026-07-15,North,BlueDart_Carrier_B,2.9,95.9,1,0
2026-07-15,South,FastExpress_Carrier_A,2.0,93.6,1,0
2026-07-16,West,BlueDart_Carrier_B,2.3,92.3,3,0
2026-07-16,East,RegionalLogistics_C,2.4,93.3,4,0
2026-07-16,North,FastExpress_Carrier_A,2.8,93.0,2,0
2026-07-16,South,BlueDart_Carrier_B,2.7,94.1,2,0
2026-07-17,West,RegionalLogistics_C,3.1,92.8,4,0
2026-07-17,East,BlueDart_Carrier_B,2.2,93.4,1,0
2026-07-17,North,FastExpress_Carrier_A,3.1,95.7,2,0
2026-07-17,South,RegionalLogistics_C,2.4,93.9,3,0
2026-07-18,West,BlueDart_Carrier_B,3.1,95.8,4,0
2026-07-18,East,FastExpress_Carrier_A,2.1,94.1,4,0
2026-07-18,North,RegionalLogistics_C,2.1,95.1,3,0
2026-07-18,South,BlueDart_Carrier_B,2.2,97.4,4,0
2026-07-19,West,RegionalLogistics_C,1.8,96.8,1,0
2026-07-19,East,FastExpress_Carrier_A,2.8,96.6,3,0
2026-07-19,North,RegionalLogistics_C,2.6,93.9,2,0
2026-07-19,South,RegionalLogistics_C,2.2,96.2,2,0
2026-07-20,West,BlueDart_Carrier_B,1.9,95.5,1,0
2026-07-20,East,RegionalLogistics_C,2.9,92.2,3,0
2026-07-20,North,RegionalLogistics_C,2.0,97.0,3,0
2026-07-20,South,RegionalLogistics_C,2.4,93.1,3,0
2026-07-21,West,RegionalLogistics_C,2.5,93.5,43,0
2026-07-21,East,RegionalLogistics_C,3.1,97.2,45,0
2026-07-21,North,RegionalLogistics_C,2.9,94.6,39,0
2026-07-21,South,RegionalLogistics_C,2.9,93.2,52,0
2026-07-22,West,RegionalLogistics_C,2.3,96.3,43,0
2026-07-22,East,RegionalLogistics_C,2.6,94.5,47,0
2026-07-22,North,RegionalLogistics_C,3.0,97.2,42,0
2026-07-22,South,RegionalLogistics_C,2.5,95.4,42,0
2026-07-23,West,RegionalLogistics_C,2.7,95.5,44,0
2026-07-23,East,RegionalLogistics_C,2.7,92.6,36,0
2026-07-23,North,RegionalLogistics_C,2.2,94.7,42,0
2026-07-23,South,RegionalLogistics_C,3.0,92.7,46,0
2026-07-24,West,RegionalLogistics_C,2.7,96.1,4,0
2026-07-24,East,RegionalLogistics_C,2.8,92.8,4,0
2026-07-24,North,BlueDart_Carrier_B,1.9,94.7,4,0
2026-07-24,South,BlueDart_Carrier_B,1.8,94.0,4,0
2026-07-25,West,RegionalLogistics_C,3.1,96.7,1,0
2026-07-25,East,FastExpress_Carrier_A,2.3,97.0,3,0
2026-07-25,North,BlueDart_Carrier_B,2.4,93.0,1,0
2026-07-25,South,FastExpress_Carrier_A,1.9,93.2,1,0
2026-07-26,West,RegionalLogistics_C,2.9,93.3,2,0
2026-07-26,East,RegionalLogistics_C,2.1,96.6,2,0
2026-07-26,North,FastExpress_Carrier_A,2.1,96.8,3,0
2026-07-26,South,FastExpress_Carrier_A,2.9,95.3,3,0
2026-07-27,West,FastExpress_Carrier_A,3.2,95.0,2,0
2026-07-27,East,BlueDart_Carrier_B,2.7,92.1,1,0
2026-07-27,North,FastExpress_Carrier_A,2.9,93.3,3,0
2026-07-27,South,RegionalLogistics_C,2.0,92.3,4,0
2026-07-28,West,BlueDart_Carrier_B,2.0,92.3,4,0
2026-07-28,East,RegionalLogistics_C,2.5,92.6,2,0
2026-07-28,North,BlueDart_Carrier_B,1.9,96.3,3,0
2026-07-28,South,BlueDart_Carrier_B,2.7,92.2,4,0
2026-07-29,West,FastExpress_Carrier_A,2.4,92.6,4,0
2026-07-29,East,FastExpress_Carrier_A,3.1,93.8,2,0
2026-07-29,North,BlueDart_Carrier_B,2.0,95.4,3,0
2026-07-29,South,RegionalLogistics_C,3.2,94.9,4,0
2026-07-30,West,RegionalLogistics_C,2.6,92.5,1,0
2026-07-30,East,BlueDart_Carrier_B,2.7,96.2,2,0
2026-07-30,North,BlueDart_Carrier_B,2.4,93.3,3,0
2026-07-30,South,BlueDart_Carrier_B,2.4,96.0,3,0
2026-07-31,West,RegionalLogistics_C,2.2,93.4,2,0
2026-07-31,East,FastExpress_Carrier_A,3.1,92.4,1,0
2026-07-31,North,FastExpress_Carrier_A,2.4,96.1,3,0
2026-07-31,South,RegionalLogistics_C,2.6,95.2,3,0
2026-08-01,West,RegionalLogistics_C,2.0,93.9,4,0
2026-08-01,East,BlueDart_Carrier_B,1.9,93.6,3,0
2026-08-01,North,RegionalLogistics_C,1.9,94.8,2,0
2026-08-01,South,RegionalLogistics_C,2.5,96.7,3,0
2026-08-02,West,BlueDart_Carrier_B,2.3,96.2,2,0
2026-08-02,East,RegionalLogistics_C,3.0,97.4,1,0
2026-08-02,North,FastExpress_Carrier_A,3.1,96.6,3,0
2026-08-02,South,BlueDart_Carrier_B,2.1,95.9,3,0
2026-08-03,West,RegionalLogistics_C,2.3,93.0,2,0
2026-08-03,East,FastExpress_Carrier_A,2.7,92.4,1,0
2026-08-03,North,BlueDart_Carrier_B,2.8,93.2,4,0
2026-08-03,South,RegionalLogistics_C,2.3,94.0,3,0
2026-08-04,West,FastExpress_Carrier_A,2.6,96.9,2,0
2026-08-04,East,BlueDart_Carrier_B,2.9,92.3,1,0
2026-08-04,North,BlueDart_Carrier_B,2.4,94.3,4,0
2026-08-04,South,BlueDart_Carrier_B,2.2,96.2,1,0
2026-08-05,West,RegionalLogistics_C,2.4,93.6,4,0
2026-08-05,East,RegionalLogistics_C,2.7,92.2,4,0
2026-08-05,North,FastExpress_Carrier_A,1.9,93.1,2,0
2026-08-05,South,FastExpress_Carrier_A,2.9,93.6,1,0
2026-08-06,West,BlueDart_Carrier_B,2.5,94.4,2,0
2026-08-06,East,FastExpress_Carrier_A,2.5,93.3,3,0
2026-08-06,North,FastExpress_Carrier_A,2.4,96.1,4,0
2026-08-06,South,RegionalLogistics_C,2.4,92.4,3,0
2026-08-07,West,BlueDart_Carrier_B,2.4,94.2,4,0
2026-08-07,East,FastExpress_Carrier_A,2.0,92.1,3,0
2026-08-07,North,FastExpress_Carrier_A,2.9,95.4,3,0
