date,region,category,orders_count,gross_amount,discounts,returns_refund,margin_cost,net_revenue,cancellations
2026-07-01,West,Electronics,164,19680.0,984.0,787.2,11414.4,17908.8,3
2026-07-01,West,Home & Living,153,9180.0,459.0,367.2,5324.4,8353.8,3
2026-07-01,West,EV Accessories,185,15725.0,786.25,629.0,9120.5,14309.75,3
2026-07-01,West,Apparel,181,10860.0,543.0,434.4,6298.8,9882.6,3
2026-07-01,East,Electronics,178,21360.0,1068.0,854.4,12388.8,19437.6,3
2026-07-01,East,Home & Living,167,10020.0,501.0,400.8,5811.6,9118.2,3
2026-07-01,East,EV Accessories,163,13855.0,692.75,554.2,8035.9,12608.05,3
2026-07-01,East,Apparel,219,13140.0,657.0,525.6,7621.2,11957.4,4
2026-07-01,North,Electronics,161,19320.0,966.0,772.8,11205.6,17581.2,3
2026-07-01,North,Home & Living,204,12240.0,612.0,489.6,7099.2,11138.4,4
2026-07-01,North,EV Accessories,154,13090.0,654.5,523.6,7592.2,11911.9,3
2026-07-01,North,Apparel,153,9180.0,459.0,367.2,5324.4,8353.8,3
2026-07-01,South,Electronics,161,19320.0,966.0,772.8,11205.6,17581.2,3
2026-07-01,South,Home & Living,177,10620.0,531.0,424.8,6159.6,9664.2,3
2026-07-01,South,EV Accessories,179,15215.0,760.75,608.6,8824.7,13845.65,3
2026-07-01,South,Apparel,214,12840.0,642.0,513.6,7447.2,11684.4,4
2026-07-02,West,Electronics,153,18360.0,918.0,734.4,10648.8,16707.6,3
2026-07-02,West,Home & Living,175,10500.0,525.0,420.0,6090.0,9555.0,3
2026-07-02,West,EV Accessories,219,18615.0,930.75,744.6,10796.7,16939.65,4
2026-07-02,West,Apparel,203,12180.0,609.0,487.2,7064.4,11083.8,4
2026-07-02,East,Electronics,178,21360.0,1068.0,854.4,12388.8,19437.6,3
2026-07-02,East,Home & Living,207,12420.0,621.0,496.8,7203.6,11302.2,4
2026-07-02,East,EV Accessories,185,15725.0,786.25,629.0,9120.5,14309.75,3
2026-07-02,East,Apparel,150,9000.0,450.0,360.0,5220.0,8190.0,3
2026-07-02,North,Electronics,170,20400.0,1020.0,816.0,11832.0,18564.0,3
2026-07-02,North,Home & Living,204,12240.0,612.0,489.6,7099.2,11138.4,4
2026-07-02,North,EV Accessories,193,16405.0,820.25,656.2,9514.9,14928.55,3
2026-07-02,North,Apparel,185,11100.0,555.0,444.0,6438.0,10101.0,3
2026-07-02,South,Electronics,169,20280.0,1014.0,811.2,11762.4,18454.8,3
2026-07-02,South,Home & Living,177,10620.0,531.0,424.8,6159.6,9664.2,3
2026-07-02,South,EV Accessories,193,16405.0,820.25,656.2,9514.9,14928.55,3
2026-07-02,South,Apparel,163,9780.0,489.0,391.2,5672.4,8899.8,3
2026-07-03,West,Electronics,161,19320.0,966.0,772.8,11205.6,17581.2,3
2026-07-03,West,Home & Living,198,11880.0,594.0,475.2,6890.4,10810.8,3
2026-07-03,West,EV Accessories,162,13770.0,688.5,550.8,7986.6,12530.7,3
2026-07-03,West,Apparel,195,11700.0,585.0,468.0,6786.0,10647.0,3
2026-07-03,East,Electronics,194,23280.0,1164.0,931.2,13502.4,21184.8,3
2026-07-03,East,Home & Living,183,10980.0,549.0,439.2,6368.4,9991.8,3
2026-07-03,East,EV Accessories,155,13175.0,658.75,527.0,7641.5,11989.25,3
2026-07-03,East,Apparel,208,12480.0,624.0,499.2,7238.4,11356.8,4
2026-07-03,North,Electronics,218,26160.0,1308.0,1046.4,15172.8,23805.6,4
2026-07-03,North,Home & Living,165,9900.0,495.0,396.0,5742.0,9009.0,3
2026-07-03,North,EV Accessories,198,16830.0,841.5,673.2,9761.4,15315.3,3
2026-07-03,North,Apparel,160,9600.0,480.0,384.0,5568.0,8736.0,3
2026-07-03,South,Electronics,220,26400.0,1320.0,1056.0,15312.0,24024.0,4
2026-07-03,South,Home & Living,187,11220.0,561.0,448.8,6507.6,10210.2,3
2026-07-03,South,EV Accessories,196,16660.0,833.0,666.4,9662.8,15160.6,3
2026-07-03,South,Apparel,174,10440.0,522.0,417.6,6055.2,9500.4,3
2026-07-04,West,Electronics,134,16080.0,804.0,643.2,9326.4,14632.8,2
2026-07-04,West,Home & Living,131,7860.0,393.0,314.4,4558.8,7152.6,2
2026-07-04,West,EV Accessories,152,12920.0,646.0,516.8,7493.6,11757.2,3
2026-07-04,West,Apparel,158,9480.0,474.0,379.2,5498.4,8626.8,3
2026-07-04,East,Electronics,136,16320.0,816.0,652.8,9465.6,14851.2,2
2026-07-04,East,Home & Living,152,9120.0,456.0,364.8,5289.6,8299.2,3
2026-07-04,East,EV Accessories,137,11645.0,582.25,465.8,6754.1,10596.95,2
2026-07-04,East,Apparel,168,10080.0,504.0,403.2,5846.4,9172.8,3
2026-07-04,North,Electronics,157,18840.0,942.0,753.6,10927.2,17144.4,3
2026-07-04,North,Home & Living,176,10560.0,528.0,422.4,6124.8,9609.6,3
2026-07-04,North,EV Accessories,166,14110.0,705.5,564.4,8183.8,12840.1,3
2026-07-04,North,Apparel,144,8640.0,432.0,345.6,5011.2,7862.4,2
2026-07-04,South,Electronics,167,20040.0,1002.0,801.6,11623.2,18236.4,3
2026-07-04,South,Home & Living,165,9900.0,495.0,396.0,5742.0,9009.0,3
2026-07-04,South,EV Accessories,149,12665.0,633.25,506.6,7345.7,11525.15,2
2026-07-04,South,Apparel,156,9360.0,468.0,374.4,5428.8,8517.6,3
2026-07-05,West,Electronics,135,16200.0,810.0,648.0,9396.0,14742.0,2
2026-07-05,West,Home & Living,145,8700.0,435.0,348.0,5046.0,7917.0,2
2026-07-05,West,EV Accessories,185,15725.0,786.25,629.0,9120.5,14309.75,3
2026-07-05,West,Apparel,153,9180.0,459.0,367.2,5324.4,8353.8,3
2026-07-05,East,Electronics,144,17280.0,864.0,691.2,10022.4,15724.8,2
2026-07-05,East,Home & Living,177,10620.0,531.0,424.8,6159.6,9664.2,3
2026-07-05,East,EV Accessories,168,14280.0,714.0,571.2,8282.4,12994.8,3
2026-07-05,East,Apparel,156,9360.0,468.0,374.4,5428.8,8517.6,3
2026-07-05,North,Electronics,151,18120.0,906.0,724.8,10509.6,16489.2,3
2026-07-05,North,Home & Living,162,9720.0,486.0,388.8,5637.6,8845.2,3
2026-07-05,North,EV Accessories,133,11305.0,565.25,452.2,6556.9,10287.55,2
2026-07-05,North,Apparel,152,9120.0,456.0,364.8,5289.6,8299.2,3
2026-07-05,South,Electronics,130,15600.0,780.0,624.0,9048.0,14196.0,2
2026-07-05,South,Home & Living,161,9660.0,483.0,386.4,5602.8,8790.6,3
2026-07-05,South,EV Accessories,170,14450.0,722.5,578.0,8381.0,13149.5,3
2026-07-05,South,Apparel,156,9360.0,468.0,374.4,5428.8,8517.6,3
2026-07-06,West,Electronics,158,18960.0,948.0,758.4,10996.8,17253.6,3
2026-07-06,West,Home & Living,177,10620.0,531.0,424.8,6159.6,9664.2,3
2026-07-06,West,EV Accessories,190,16150.0,807.5,646.0,9367.0,14696.5,3
2026-07-06,West,Apparel,177,10620.0,531.0,424.8,6159.6,9664.2,3
2026-07-06,East,Electronics,213,25560.0,1278.0,1022.4,14824.8,23259.6,4
2026-07-06,East,Home & Living,200,12000.0,600.0,480.0,6960.0,10920.0,4
2026-07-06,East,EV Accessories,208,17680.0,884.0,707.2,10254.4,16088.8,4
2026-07-06,East,Apparel,168,10080.0,504.0,403.2,5846.4,9172.8,3
2026-07-06,North,Electronics,183,21960.0,1098.0,878.4,12736.8,19983.6,3
2026-07-06,North,Home & Living,167,10020.0,501.0,400.8,5811.6,9118.2,3
2026-07-06,North,EV Accessories,181,15385.0,769.25,615.4,8923.3,14000.35,3
2026-07-06,North,Apparel,218,13080.0,654.0,523.2,7586.4,11902.8,4
2026-07-06,South,Electronics,183,21960.0,1098.0,878.4,12736.8,19983.6,3
2026-07-06,South,Home & Living,204,12240.0,612.0,489.6,7099.2,11138.4,4
2026-07-06,South,EV Accessories,201,17085.0,854.25,683.4,9909.3,15547.35,4
2026-07-06,South,Apparel,196,11760.0,588.0,470.4,6820.8,10701.6,3
2026-07-07,West,Electronics,178,21360.0,1068.0,854.4,12388.8,19437.6,3
2026-07-07,West,Home & Living,167,10020.0,501.0,400.8,5811.6,9118.2,3
2026-07-07,West,EV Accessories,215,18275.0,913.75,731.0,10599.5,16630.25,4
2026-07-07,West,Apparel,213,12780.0,639.0,511.2,7412.4,11629.8,4
2026-07-07,East,Electronics,161,19320.0,966.0,772.8,11205.6,17581.2,3
2026-07-07,East,Home & Living,156,9360.0,468.0,374.4,5428.8,8517.6,3
2026-07-07,East,EV Accessories,164,13940.0,697.0,557.6,8085.2,12685.4,3
